feature,mean_abs_weight,bin
age,0.03465998503426972,Medium
workclass,0.034010541347046876,Medium
fnlwgt,0.017440646893185526,Low
education,0.03106127876380104,Low
education.num,0.09966392032308714,High
marital.status,0.10102659633051148,High
occupation,0.01024071865690442,Low
relationship,0.023375086678218433,Low
race,0.004385512449000604,Low
sex,0.08874013114486945,High
capital.gain,0.1849409862922271,High
capital.loss,0.08511463990925049,Medium
hours.per.week,0.10619560380293133,High
native.country,0.06519354258400661,Medium
