feature,mean_abs_weight,bin
age,0.08750074565341057,High
workclass,0.012614392274631809,Low
fnlwgt,0.020030635742216047,Low
education,0.034758679417656944,Low
education.num,0.10585903502162475,High
marital.status,0.21136994485529176,High
occupation,0.041547830205601446,Low
relationship,0.07717334903643577,Medium
race,0.004385512449000605,Low
sex,0.06667069723094646,Medium
capital.gain,0.1743882123204465,High
capital.loss,0.14876480224669592,High
hours.per.week,0.06902738216978187,Medium
native.country,0.06894767003241273,Medium
