feature,mean_abs_weight,bin
age,0.009291863312124837,Low
job,0.01719645168499693,Low
marital,0.00351659632501988,Low
education,0.05203171410305943,Medium
default,0.1623434843039375,High
balance,0.02334560347217138,Low
housing,0.03150239316586728,Medium
loan,0.06508950389683207,High
contact,0.05778492957065619,Medium
day,0.014916774537136027,Low
month,0.05127281303526489,Medium
duration,0.2207335143070549,High
campaign,0.03775943490248686,Medium
pdays,0.11058630641338923,High
previous,0.20727800999642437,High
poutcome,0.0,Low
