feature,mean_abs_weight,bin
age,0.011018507253162177,Low
job,0.012098927473191525,Low
marital,0.002996940075624771,Low
education,0.040347670972102505,Medium
default,0.18659726028889867,High
balance,0.01041712712161108,Low
housing,0.025200943953042926,Medium
loan,0.06440352672598995,High
contact,0.056623758566779266,Medium
day,0.013630755275947643,Low
month,0.03722457409323359,Medium
duration,0.24339100559975718,High
campaign,0.0370743359732956,Medium
pdays,0.162420795705817,High
previous,0.1973256555324252,High
poutcome,0.0,Low
