feature,mean_abs_weight,bin
age,0.013996845894904054,Low
job,0.015958329239746456,Medium
marital,0.00923311002252565,Low
education,0.05465281270211084,Medium
default,0.16448371769807466,High
balance,0.009184232234373596,Low
housing,0.036885850318033875,Medium
loan,0.046212156612701956,Medium
contact,0.06804990617532418,High
day,0.005914641294644587,Low
month,0.03317258447781639,Medium
duration,0.24126578935981582,High
campaign,0.05493621306988189,High
pdays,0.25857494746277754,High
previous,0.24440605195455908,High
poutcome,0.008047767731155685,Low
