feature,mean_abs_weight,bin
age,0.018435800011176454,Medium
job,0.014262490707691816,Low
marital,0.010201103745945574,Low
education,0.05132109154383617,Medium
default,0.16554784499110714,High
balance,0.015947846612699507,Low
housing,0.041460292956688766,Medium
loan,0.05558081097291573,High
contact,0.08039467058630924,High
day,0.005690275423108795,Low
month,0.021621619809572,Medium
duration,0.23422418216286964,High
campaign,0.053579555453523525,Medium
pdays,0.22738837683286964,High
previous,0.2610349581220407,High
poutcome,0.008047767731155685,Low
